heading,count,share,cum_share,rank
Home Help Service,35,0.002094554159186116,0.6827049670855773,115
Apprenticeship Programmes,35,0.002094554159186116,0.6847995212447634,116
Hospital Procedures,35,0.002094554159186116,0.6868940754039495,117
Child Protection,35,0.002094554159186116,0.6889886295631357,118
Data Protection,34,0.0020347097546379415,0.6910233393177736,119
Driver Licences,34,0.0020347097546379415,0.6930580490724115,120
Air Services,34,0.0020347097546379415,0.6950927588270495,121
Dublin Airport Authority,34,0.0020347097546379415,0.6971274685816874,122
Bus Éireann,34,0.0020347097546379415,0.6991621783363253,123
Citizenship Applications,34,0.0020347097546379415,0.7011968880909633,124
Departmental Communications,34,0.0020347097546379415,0.7032315978456012,125
Greyhound Industry,34,0.0020347097546379415,0.7052663076002391,126
Foreign Policy,33,0.0019748653500897668,0.7072411729503288,127
Departmental Meetings,33,0.0019748653500897668,0.7092160383004186,128
Student Accommodation,33,0.0019748653500897668,0.7111909036505083,129
Immigration Policy,33,0.0019748653500897668,0.713165769000598,130
Cancer Services,33,0.0019748653500897668,0.7151406343506878,131
Cybersecurity Policy,33,0.0019748653500897668,0.7171154997007775,132
Legislative Programme,32,0.0019150209455415918,0.7190305206463191,133
School Admissions,32,0.0019150209455415918,0.7209455415918608,134
Fisheries Protection,31,0.0018551765409934172,0.7228007181328542,135
Departmental Websites,31,0.0018551765409934172,0.7246558946738476,136
Energy Policy,30,0.0017953321364452424,0.7264512268102928,137
Grant Payments,30,0.0017953321364452424,0.7282465589467381,138
Sports Organisations,30,0.0017953321364452424,0.7300418910831833,139
Patient Safety,30,0.0017953321364452424,0.7318372232196285,140
Industrial Development,29,0.0017354877318970677,0.7335727109515255,141
Middle East,29,0.0017354877318970677,0.7353081986834226,142
Naval Service,29,0.0017354877318970677,0.7370436864153196,143
Sports Facilities,29,0.0017354877318970677,0.7387791741472166,144
Departmental Consultations,28,0.0016756433273488929,0.7404548174745655,145
National Development Plan,28,0.0016756433273488929,0.7421304608019145,146
Central Bank of Ireland,28,0.0016756433273488929,0.7438061041292634,147
Employment Rights,27,0.001615798922800718,0.7454219030520641,148
Passport Services,27,0.001615798922800718,0.7470377019748649,149
Tax Credits,26,0.0015559545182525433,0.7485936564931174,150
Tax Yield,26,0.0015559545182525433,0.7501496110113699,151
Domestic Violence,26,0.0015559545182525433,0.7517055655296224,152
Family Reunification,26,0.0015559545182525433,0.7532615200478749,153
Third Level Education,26,0.0015559545182525433,0.7548174745661275,154
Urban Development,25,0.0014961101137043686,0.7563135846798318,155
Wind Energy Generation,24,0.001436265709156194,0.757749850388988,156
Greenways Provision,24,0.001436265709156194,0.7591861160981442,157
Road Traffic Accidents,24,0.001436265709156194,0.7606223818073005,158
Derelict Sites,24,0.001436265709156194,0.7620586475164567,159
Deportation Orders,24,0.001436265709156194,0.7634949132256129,160
Animal Diseases,24,0.001436265709156194,0.7649311789347691,161
Home Care Packages,24,0.001436265709156194,0.7663674446439254,162
Energy Prices,23,0.0013764213046080192,0.7677438659485334,163
Coastal Protection,23,0.0013764213046080192,0.7691202872531414,164
Bord Bia,23,0.0013764213046080192,0.7704967085577494,165
Regional Development,22,0.0013165769000598444,0.7718132854578093,166
State Bodies,22,0.0013165769000598444,0.7731298623578691,167
Civil Service,22,0.0013165769000598444,0.7744464392579289,168
Departmental Properties,22,0.0013165769000598444,0.7757630161579887,169
National Economic and Social Council,22,0.0013165769000598444,0.7770795930580485,170
Small and Medium Enterprises,21,0.0012567324955116697,0.7783363255535601,171
Public Sector Pay,21,0.0012567324955116697,0.7795930580490718,172
Air Corps,21,0.0012567324955116697,0.7808497905445834,173
Public Procurement Contracts,21,0.0012567324955116697,0.782106523040095,174
Revenue Commissioners,21,0.0012567324955116697,0.7833632555356066,175
Courts Service,21,0.0012567324955116697,0.7846199880311182,176
Hospital Charges,21,0.0012567324955116697,0.7858767205266298,177
Public Spending Code,20,0.0011968880909634949,0.7870736086175933,178
Electricity Grid,20,0.0011968880909634949,0.7882704967085569,179
Active Travel,20,0.0011968880909634949,0.7894673847995204,180
Insurance Industry,20,0.0011968880909634949,0.7906642728904839,181
Departmental Programmes,20,0.0011968880909634949,0.7918611609814474,182
State Examinations,20,0.0011968880909634949,0.793058049072411,183
Financial Services,20,0.0011968880909634949,0.7942549371633745,184
Tourism Promotion,19,0.00113704368641532,0.7953919808497898,185
National Security,19,0.00113704368641532,0.7965290245362051,186
Penalty Points System,19,0.00113704368641532,0.7976660682226204,187
Banking Sector,19,0.00113704368641532,0.7988031119090357,188
Regulatory Bodies,19,0.00113704368641532,0.7999401555954511,189
Hospital Equipment,19,0.00113704368641532,0.8010771992818664,190
Flood Risk Management,19,0.00113704368641532,0.8022142429682817,191
Irish Language,19,0.00113704368641532,0.803351286654697,192
Climate Change Policy,19,0.00113704368641532,0.8044883303411123,193
Business Supports,18,0.0010771992818671453,0.8055655296229794,194
Taxi Regulations,18,0.0010771992818671453,0.8066427289048466,195
Air Safety,18,0.0010771992818671453,0.8077199281867137,196
School Curriculum,18,0.0010771992818671453,0.8087971274685808,197
Teacher Training,18,0.0010771992818671453,0.8098743267504479,198
Wind Energy Guidelines,18,0.0010771992818671453,0.810951526032315,199
Naturalisation Applications,18,0.0010771992818671453,0.8120287253141821,200
Food Industry,18,0.0010771992818671453,0.8131059245960492,201
"Domestic, Sexual and Gender-based Violence",18,0.0010771992818671453,0.8141831238779164,202
Community Development Projects,18,0.0010771992818671453,0.8152603231597835,203
Taoiseach's Meetings and Engagements,18,0.0010771992818671453,0.8163375224416506,204
Common Agricultural Policy,18,0.0010771992818671453,0.8174147217235177,205
Ukraine War,18,0.0010771992818671453,0.8184919210053848,206
Tourism Policy,17,0.0010173548773189708,0.8195092758827038,207
Energy Infrastructure,17,0.0010173548773189708,0.8205266307600229,208
Inland Fisheries,17,0.0010173548773189708,0.8215439856373419,209
Waste Management,17,0.0010173548773189708,0.8225613405146609,210
EU Funding,17,0.0010173548773189708,0.8235786953919799,211
Social Media,17,0.0010173548773189708,0.8245960502692989,212
Arts Funding,17,0.0010173548773189708,0.825613405146618,213
Legislative Reviews,17,0.0010173548773189708,0.826630760023937,214
Mother and Baby Homes,17,0.0010173548773189708,0.827648114901256,215
Primary Care Services,17,0.0010173548773189708,0.828665469778575,216
Official Engagements,17,0.0010173548773189708,0.829682824655894,217
Assisted Human Reproduction,17,0.0010173548773189708,0.8307001795332131,218
Home Schooling,17,0.0010173548773189708,0.8317175344105321,219
Tourism Industry,16,0.0009575104727707959,0.8326750448833029,220
Recycling Policy,16,0.0009575104727707959,0.8336325553560737,221
Heritage Sites,16,0.0009575104727707959,0.8345900658288445,222
Forestry Sector,16,0.0009575104727707959,0.8355475763016154,223
Medical Aids and Appliances,16,0.0009575104727707959,0.8365050867743862,224
Eating Disorders,16,0.0009575104727707959,0.837462597247157,225
Coast Guard Service,16,0.0009575104727707959,0.8384201077199278,226
Educational Disadvantage,16,0.0009575104727707959,0.8393776181926986,227
Commercial Rates,16,0.0009575104727707959,0.8403351286654694,228
Residential Institutions,16,0.0009575104727707959,0.8412926391382403,229
Strategic Infrastructure,16,0.0009575104727707959,0.8422501496110111,230
Employment Data,15,0.0008976660682226212,0.8431478156792337,231
Flexible Work Practices,15,0.0008976660682226212,0.8440454817474563,232
Education and Training Provision,15,0.0008976660682226212,0.8449431478156789,233
Child Poverty,15,0.0008976660682226212,0.8458408138839015,234
Guardians Ad Litem,15,0.0008976660682226212,0.8467384799521241,235
Covid-19 Pandemic Supports,15,0.0008976660682226212,0.8476361460203468,236
Disease Management,15,0.0008976660682226212,0.8485338120885694,237
State Pensions,15,0.0008976660682226212,0.849431478156792,238
Ports Policy,15,0.0008976660682226212,0.8503291442250146,239
Aviation Industry,15,0.0008976660682226212,0.8512268102932372,240
Environmental Policy,15,0.0008976660682226212,0.8521244763614598,241
British-Irish Co-operation,15,0.0008976660682226212,0.8530221424296824,242
Dublin Bus,15,0.0008976660682226212,0.853919808497905,243
Child Safety,15,0.0008976660682226212,0.8548174745661277,244
Tax Exemptions,14,0.0008378216636744464,0.8556552962298021,245
EU Directives,14,0.0008378216636744464,0.8564931178934765,246
Asylum Applications,14,0.0008378216636744464,0.8573309395571509,247
Parental Leave,14,0.0008378216636744464,0.8581687612208253,248
Mental Health Policy,14,0.0008378216636744464,0.8590065828844997,249
Insurance Coverage,14,0.0008378216636744464,0.8598444045481741,250
Harbours and Piers,14,0.0008378216636744464,0.8606822262118485,251
Departmental Regulations,14,0.0008378216636744464,0.8615200478755229,252
Third Level Fees,14,0.0008378216636744464,0.8623578695391974,253
School Management,14,0.0008378216636744464,0.8631956912028718,254
Traveller Community,14,0.0008378216636744464,0.8640335128665462,255
Enterprise Policy,13,0.0007779772591262717,0.8648114901256725,256
Data Centres,13,0.0007779772591262717,0.8655894673847988,257
Military Aircraft,13,0.0007779772591262717,0.8663674446439251,258
Traffic Management,13,0.0007779772591262717,0.8671454219030514,259
Illicit Trade,13,0.0007779772591262717,0.8679233991621778,260
Education and Training Boards,13,0.0007779772591262717,0.8687013764213041,261
Sport and Recreational Development,13,0.0007779772591262717,0.8694793536804304,262
Local Community Safety Partnerships,13,0.0007779772591262717,0.8702573309395567,263
Animal Breeding,13,0.0007779772591262717,0.871035308198683,264
Emergency Departments,13,0.0007779772591262717,0.8718132854578093,265
Education Schemes,13,0.0007779772591262717,0.8725912627169357,266
Culture Policy,13,0.0007779772591262717,0.873369239976062,267
Tobacco Control Measures,13,0.0007779772591262717,0.8741472172351883,268
National Car Test,13,0.0007779772591262717,0.8749251944943146,269
State Properties,13,0.0007779772591262717,0.8757031717534409,270
Maternity Leave,13,0.0007779772591262717,0.8764811490125672,271
Water Pollution,13,0.0007779772591262717,0.8772591262716936,272
Health and Safety,12,0.000718132854578097,0.8779772591262717,273
Air Navigation Orders,12,0.000718132854578097,0.8786953919808498,274
Teaching Qualifications,12,0.000718132854578097,0.8794135248354279,275
Live Exports,12,0.000718132854578097,0.880131657690006,276
Hospice Services,12,0.000718132854578097,0.8808497905445841,277
Road Safety Authority,12,0.000718132854578097,0.8815679233991622,278
Tax Collection,12,0.000718132854578097,0.8822860562537403,279
