question,department,question_clean,date,answer_type,question_number,refNo,deputy,deputy_source,language,raw_question,department_paper,source_question_paragraph,source_pq_paragraph
81. Deputy Shónagh Ní Raghallaigh asked the Minister for Social Protection his views in relation to the phasing out of the carers allowance means test as committed to in the Programme for Government; and the timeline for this commitment to be met. [66892/26],Social,the minister for social protection his views the phasing out of the carers allowance means test as committed to in the programme for government and the timeline for this commitment to be met 66892 26,2026-09-24,oral,81,66892/26,Shónagh Ní Raghallaigh,SHÓNAGH NÍ RAGHALLAIGH,en,To ask the Minister for Social Protection his views in relation to the phasing out of the carers allowance means test as committed to in the Programme for Government; and the timeline for this commitment to be met.,Social Protection,1299,1301
82. Deputy Peadar Tóibín asked the Minister for Social Protection the number of carers whose applications for carer's allowance were refused solely as a result of the means test in each of the past five years; and the average amount by which applicants exceeded the income threshold. [67315/26],Social,the minister for social protection the number of carers whose applications for carer s allowance were refused solely as a result of the means test in each of the past five years and the average amount by which applicants exceeded the income threshold 67315 26,2026-09-24,oral,82,67315/26,Peadar Tóibín,PEADAR TÓIBÍN,en,To ask the Minister for Social Protection the number of carers whose applications for carer's allowance were refused solely as a result of the means test in each of the past five years; and the average amount by which applicants exceeded the income threshold.,Social Protection,1303,1305
"83. Deputy Peadar Tóibín asked the Minister for Social Protection the number of persons holding a free travel pass on 31 August 2026, by qualifying category including State pension, disability allowance, invalidity pension, blind pension and carer's allowance recipients; the beneficiaries of temporary protection from Ukraine, where applicable, international protection applicants, where applicable, and all other qualifying categories; and the estimated cost to the Exchequer of providing free travel under each category in each of the past five years. [67316/26]",Social,the minister for social protection the number of persons holding a free travel pass on 31 august 2026 by qualifying category including state pension disability allowance invalidity pension blind pension and carer s allowance recipients the beneficiaries of temporary protection from ukraine where applicable international protection applicants where applicable and all other qualifying categories and the estimated cost to the exchequer of providing free travel under each category in each of the past five years 67316 26,2026-09-24,oral,83,67316/26,Peadar Tóibín,PEADAR TÓIBÍN,en,"To ask the Minister for Social Protection the number of persons holding a free travel pass on 31 August 2026, by qualifying category including State pension, disability allowance, invalidity pension, blind pension and carer's allowance recipients; the beneficiaries of temporary protection from Ukraine, where applicable, international protection applicants, where applicable, and all other qualifying categories; and the estimated cost to the Exchequer of providing free travel under each category in each of the past five years.",Social Protection,1307,1309
84. Deputy Brian Stanley asked the Minister for Social Protection the plans in place to enhance and expand Social Welfare and Intreo Services in County Laois to match local population growth to ensure timely access for claimants. [67396/26],Social,the minister for social protection the plans in place to enhance and expand social welfare and intreo services in county laois to match local population growth to ensure timely access for claimants 67396 26,2026-09-24,oral,84,67396/26,Brian Stanley,BRIAN STANLEY,en,To ask the Minister for Social Protection the plans in place to enhance and expand Social Welfare and Intreo Services in County Laois to match local population growth to ensure timely access for claimants.,Social Protection,1311,1313
85. Deputy Matt Carthy asked the Minister for Social Protection whether the review of means testing in the social protection system will be completed this quarter; and if he will make a statement on the matter. [66609/26],Social,the minister for social protection whether the review of means testing in the social protection system will be completed this quarter and 66609 26,2026-09-24,oral,85,66609/26,Matt Carthy,MATT CARTHY,en,To ask the Minister for Social Protection whether the review of means testing in the social protection system will be completed this quarter; and if he will make a statement on the matter.,Social Protection,1315,1317
86. Deputy Michael Cahill asked the Minister for Social Protection for an update on the proposed cost of disability payment. [67199/26],Social,the minister for social protection for an update on the proposed cost of disability payment 67199 26,2026-09-24,oral,86,67199/26,Michael Cahill,MICHAEL CAHILL,en,To ask the Minister for Social Protection for an update on the proposed cost of disability payment.,Social Protection,1319,1321
87. Deputy Shay Brennan asked the Minister for Social Protection If he will provide a county breakdown of the numbers of students receiving a hot school meal every day. [67249/26],Social,the minister for social protection if he will provide a county breakdown of the numbers of students receiving a hot school meal every day 67249 26,2026-09-24,oral,87,67249/26,Shay Brennan,SHAY BRENNAN,en,To ask the Minister for Social Protection If he will provide a county breakdown of the numbers of students receiving a hot school meal every day.,Social Protection,1323,1325
88. Deputy Brendan Smith asked the Minister for Social Protection the number of people in Cavan Monaghan that are eligible for Fuel Allowance. [67384/26],Social,the minister for social protection the number of people in cavan monaghan that are eligible for fuel allowance 67384 26,2026-09-24,oral,88,67384/26,Brendan Smith,BRENDAN SMITH,en,To ask the Minister for Social Protection the number of people in Cavan Monaghan that are eligible for Fuel Allowance.,Social Protection,1327,1329
"89. Deputy Michael Murphy asked the Minister for Social Protection whether he is considering advocating, as part of the pre-budget process, for targeted employer PRSI relief measures for SMEs, particularly in respect of lower-paid workers, in order to help locally owned businesses maintain employment and remain competitive in the face of rising business costs. [63668/26]",Social,the minister for social protection whether he is considering advocating as part of the pre-budget process for targeted employer prsi relief measures for smes particularly in respect of lower-paid workers in order to help locally owned businesses maintain employment and remain competitive in the face of rising business costs 63668 26,2026-09-24,oral,89,63668/26,Michael Murphy,MICHAEL MURPHY,en,"To ask the Minister for Social Protection whether he is considering advocating, as part of the pre-budget process, for targeted employer PRSI relief measures for SMEs, particularly in respect of lower-paid workers, in order to help locally owned businesses maintain employment and remain competitive in the face of rising business costs.",Social Protection,1331,1333
"90. Deputy Mairéad Farrell asked the Minister for Social Protection if consideration has been given to the way that eligibility reviews are communicated to persons in receipt of the State Pension (non-contributory), particularly given that these individuals are often vulnerable. [67603/26]",Social,the minister for social protection if consideration has been given to the way that eligibility reviews are communicated to persons in receipt of the state pension non-contributory particularly given that these individuals are often vulnerable 67603 26,2026-09-24,oral,90,67603/26,Mairéad Farrell,MAIRÉAD FARRELL,en,"To ask the Minister for Social Protection if consideration has been given to the way that eligibility reviews are communicated to persons in receipt of the State Pension (non-contributory), particularly given that these individuals are often vulnerable.",Social Protection,1335,1337
